Annee	Mois	Prlt	Germes	Inhib	M.G.	M.P.	Cellules	Butyriques	Cryo	Lipolyse	IGG	Uree	Salmon	Listeria	Staph	Coliformes	Pseudom	E-coli
2022	5	2	5	NEG	4000	3460	227		0,515	0,43		229						
2022	5	3		NEG	4040	3550	237		0,516	0,42		195						
2022	4	1	5	NEG	4210	3350	277	790	0,519	0,4		264						
2022	4	2		NEG	4110	3430	190		0,518	0,41		224						
2022	4	3		NEG	4280	3610	147		0,517	0,42		173						
2022	3	1	25	NEG	4110	3260	225	200	0,517			174						
2022	3	2		NEG	4030	3250	135	1700	0,522	0,42		277						
2022	3	3	10	NEG	4310	3330	192		0,522	0,42		338						
2022	2	1	8	NEG	4070	3490	305	1300	0,519	0,47		289						
2022	2	2		NEG	4150	3420	351	450	0,521	0,41		291						
2022	2	3	8	NEG	4000	3280	346		0,519	0,48		274						
2022	1	1		NEG	4310	3630	294	2400	0,521	0,42		268						
2022	1	2	17	NEG	4350	3470	508	2400	0,517	0,41		279						
2022	1	3	5	NEG	4280	3520	224		0,518	0,42		261						
2021	12	1		NEG	4540	3670	200	2200	0,521	0,42		222						
2021	12	2	22	NEG	4510	3640	385	1300	0,517	0,42		219						
2021	12	3	22	NEG	4530	3730	292		0,513	0,42		231						
2021	11	1	8	NEG	4420	3690	565	3500	0,523	0,41		283						
2021	11	2		NEG	4480	3700	401	1700	0,521	0,4		284						
2021	11	3	16	NEG	4400	3610	509		0,519	0,43		204						
2021	10	1	31	NEG	4720	3720	219	2200	0,516	0,57		314						
2021	10	2	25	NEG	4390	3640	556	3500	0,516	0,41		266						
2021	10	3		NEG	4510	3670	523		0,52	0,42		258						
2021	9	1	10	NEG	4000	3440	655		0,517	0,58		281						
2021	9	2	5	NEG	4260	3490	432	450	0,519	0,66		250						
2021	9	3		NEG	4350	3610	220		0,514	0,41		237						
2021	8	1	14	NEG	3830	3270	902	450	0,52	0,5		220						
2021	8	2	56	NEG	4040	3370	662		0,522	0,62		299						
2021	8	3		NEG	3940	3350	588		0,521	0,46		265						
2021	7	1	6	NEG	3730	3320	595		0,52			279						
2021	7	2	52	NEG	3980	3330	499	200	0,523			335						
2021	7	3		NEG	4180	3310	894		0,523			316						
2021	6	1	5	NEG	3950	3200	521		0,518			303						
2021	6	2	5	NEG	4220	3300	523	200	0,523	0,43		299						
2021	6	3		NEG	3960	3320	571		0,522			335						
2021	5	1		NEG	4400	3620	489	1700	0,52			174						
2021	5	2	7	NEG	4430	3530	417		0,521			262						
2021	5	3	5	NEG	4620	3460	482		0,523			209						
2021	4	1		NEG	4390	3660	824	450	0,522			207						
2021	4	2	14	NEG	4360	3680	694		0,521			214						
2021	4	3	12	NEG	4350	3830	387		0,521			174						
2021	3	1		NEG	4500	3730	671	1300	0,518			233						
2021	3	2	9	NEG	4500	3690	378	1300	0,519	0,35		221						
2021	3	3	59	NEG	4380	3730	776		0,518			221						
2021	2	1	8	NEG	4110	3350	403	790	0,514			361						
2021	2	2	86	NEG	4720	3910	860	790	0,52			211						
2021	2	3		NEG	4540	3840	459		0,52			261						
2021	1	1	111	NEG	4420	3780	635	1300	0,522			231						
2021	1	2	32	NEG	4590	3710	874	2200	0,521			258						
2021	1	3		NEG	4520	3820	818		0,52			235						
2020	12	1	17	NEG	4430	3730	601	2200	0,52	0,35		230						
2020	12	2	34	NEG	4240	3740	846	1700	0,52			244						
2020	12	3		NEG	4350	3820	1184		0,523			167						
2020	11	1	12	NEG	4710	3670	262	1300	0,514			159						
2020	11	2		NEG	4500	3700	397	9200	0,519			211						
2020	11	3	14	NEG	4440	3690	456		0,519			203						
2020	10	1		NEG	4540	3670	338	1700	0,518			212						
2020	10	2	22	NEG	4350	3570	330	450	0,517			167						
2020	10	3	9	NEG	4430	3610	273		0,517			180						
2020	9	1	6	NEG	4260	3430	302		0,522	0,35		201						
2020	9	2		NEG	4370	3580	302	1300	0,514			149						
2020	9	3	48	NEG	4470	3780	301		0,519			205						
2020	8	1	42	NEG	4320	3540	280		0,526			319						
2020	8	2		NEG	4180	3520	235	690	0,526			300						
2020	8	3		NEG	4290	3410	288		0,527			286						
2020	7	1	9	NEG	4220	3470	204		0,528			279						
2020	7	2		NEG	4160	3460	178	80	0,525			253						
2020	7	3	30	NEG	4270	3500	178		0,525			255						
2020	6	1	5	NEG	4170	3360	256		0,526	0,39		225						
2020	6	2	33	NEG	4270	3430	246	200	0,526			234						
2020	6	3		NEG	4270	3470	207		0,529			310						
2020	5	1	24	NEG	4140	3360	319		0,522			270						
2020	5	2	63	NEG	4050	3400	273	200	0,526			330						
2020	5	3	24	NEG	4120	3410	234		0,523			250						
2020	4	1	9	NEG	4230	3520	283	450	0,521			280						
2020	4	2	5	NEG	4300	3510	336		0,52			330						
2020	4	3	5	NEG	4050	3490	305		0,517			290						
2020	3	1	9	NEG	4560	3450	314	1300	0,517	0,35		240						
2020	3	2	47	NEG	4510	3430	291	450	0,516			240						
2020	3	3	61	NEG	4700	3510	435		0,515			290						
2020	2	1	6	NEG	4830	3570	423	1300	0,514			210						
2020	2	2	197	NEG	4680	3530	543	3500	0,514			240						
2020	2	3	30	NEG	4620	3540	293		0,513			220						
2020	1	1	15	NEG	4880	3780	488	2400	0,516			230						
2020	1	2	14	NEG	4880	3660	428	2400	0,512			220						
2020	1	3	17	NEG	4890	3580	780		0,513			220						
2019	12	1	6	NEG	5010	3710	418	5400	0,515	0,35		220						
2019	12	2	23	NEG	4920	3670	533	5400	0,514			220						
2019	12	3	15	NEG	4930	3690	591		0,517			190						
2019	11	1	8	NEG	5090	3650	301	3500	0,516			219						
2019	11	2	10	NEG	5000	3670	367	2400	0,516			230						
2019	11	3	7	NEG	4990	3670	427		0,52			220						
2019	10	1	7	NEG	5020	3830	474	370	0,512			180						
2019	10	2	5	NEG	5050	3790	370	450	0,512			220						
2019	10	3	5	NEG	4980	3810	337		0,515			250						
2019	9	1	5	NEG	4400	3600	350	200	0,517	0,5		230						
2019	9	2	5	NEG	4800	3630	385		0,511			220						
2019	9	3	5	NEG	4840	3810	353		0,512			170						
2019	8	1	5	NEG	4120	3480	309		0,519			260						
2019	8	2	6	NEG	4220	3510	255	80	0,518			250						
2019	8	3	5	NEG	4340	3480	278		0,52			250						
2019	7	1	5	NEG	4160	3420	357	80	0,521			260						
2019	7	2	7	NEG	4130	3450	349		0,517			260						
2019	7	3	5	NEG	4110	3390	362		0,518			240						
2019	6	1	88	NEG	4110	3490	378		0,518	0,46		210						
2019	6	2	10	NEG	4250	3480	304	80	0,519			220						
2019	6	3	5	NEG	4250	3560	279		0,518			280						
2019	5	1	18	NEG	4340	3460	576		0,516			380						
2019	5	2	5	NEG	4270	3380	314	200	0,515			280						
2019	5	3	55	NEG	4020	3460	286		0,517			240						
2019	4	1	37	NEG	4420	3460	458	790	0,519			230						
2019	4	2	22	NEG	4320	3530	491		0,516			260						
2019	4	3	5	NEG	4040	3470	374		0,516			260						
2019	3	1	75	NEG	4480	3450	633	200	0,518	0,35		180						
2019	3	2	13	NEG	4350	3510	317	200	0,518			170						
2019	3	3	6	NEG	4330	3520	345		0,518			200						
2019	2	1	60	NEG	4480	3650	941	1300	0,516			185						
2019	2	2	11	NEG	4570	3610	451	790	0,518			240						
2019	2	3	42	NEG	4510	3600	666		0,518			190						
2019	1	1	69	NEG	4580	3670	613	1300	0,516			150						
2019	1	2	82	NEG	4730	3640	416	1300	0,513			220						
