DATE SAISIE,NUPRELEV,NOMPARCELLE,TYPE DE SOL,TYPE DE SOL CORRIGE,MatOrg,pH,CEC,P2O5,K2O,CaO,MgO,Na2O,Soufre,Zn EDTA,Mn EDTA,Cu EDTA,Fe EDTA
15/11/2011,4167578,ZC12,ARGILO CALCAIRE SUPERFICIEL,LIMON SABLEUX,3.2,7.5,9.9,62,114,3756,142,56,0,5.1,49.4,82.8,117.93
15/11/2011,4167579,ZC06,ARGILO CALCAIRE SUPERFICIEL,LIMON SABLEUX,2.4,7.6,7.7,51,139,2986,83,27,0,3.8,54.4,60.0,69.53
15/11/2011,4167580,ZC19,ARGILO CALCAIRE SUPERFICIEL,LIMON SABLEUX,2.6,7.0,6.7,22,78,1965,74,32,0,2.3,67.5,2.0,69.99
15/11/2011,4167581,ZC23,ARGILO CALCAIRE SUPERFICIEL,LIMON SABLEUX,3.7,7.2,8.4,43,342,2756,138,38,0,3.2,91.8,3.1,95.46
16/08/2013,9286096,ZC30,ARGILO CALCAIRE MOYEN,ARGILO CALCAIRE MOYEN,3.3,8.0,11.5,38,181,7459,144,22,0,2.5,24.5,1.7,18.50
16/08/2013,9286097,ZC28,ARGILE,ARGILO CALCAIRE PROFOND,3.8,7.7,14.1,47,311,8770,218,23,0,3.4,19.0,4.0,15.60
16/08/2013,9286098,ZC27,ARGILE,LIMON SABLEUX,2.3,6.8,8.8,64,219,2816,171,15,0,4.0,75.9,14.3,99.00
16/08/2013,9286099,ZC24,ARGILO CALCAIRE SUPERFICIEL,ARGILO CALCAIRE SUPERFICIEL,6.3,7.6,17.7,21,168,12804,147,44,0,2.1,24.5,0.8,10.00
16/08/2013,9286100,ZC03,ARGILO CALCAIRE MOYEN,LIMON SABLEUX,2.4,6.9,7.1,48,81,3529,110,42,0,2.0,74.3,2.6,81.10
